epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.0005,0,,,,,,,
0,,24,,1.4703369140625,,,,,
0,,49,,1.0388641357421875,,,,,
0,,52,,,0.7303370833396912,0.7472687363624573,1.135607123374939,0.7602912187576294,0.7955002784729004
0,,52,0.523409366607666,,,,,,
,0.0005,53,,,,,,,
1,,74,,1.1836166381835938,,,,,
1,,99,,0.8411407470703125,,,,,
1,,105,,,0.817415714263916,0.8314515352249146,0.7955915331840515,0.8292391896247864,0.8503769636154175
1,,105,0.70888352394104,,,,,,
,0.0005,106,,,,,,,
2,,124,,0.8308525085449219,,,,,
2,,149,,0.8018569946289062,,,,,
2,,158,,,0.8117977380752563,0.8235659599304199,0.6749784350395203,0.8169760704040527,0.8384058475494385
2,,158,0.7503001093864441,,,,,,
,0.0005,159,,,,,,,
3,,174,,0.6696910858154297,,,,,
3,,199,,0.5853080749511719,,,,,
3,,211,,,0.8258426785469055,0.8364096283912659,0.5828124284744263,0.8333019018173218,0.8566040992736816
3,,211,0.7581032514572144,,,,,,
,0.0005,212,,,,,,,
4,,224,,0.7636113166809082,,,,,
4,,249,,0.8298211097717285,,,,,
4,,264,,,0.8202247023582458,0.8312238454818726,0.5234331488609314,0.8254214525222778,0.8435423374176025
4,,264,0.7545018196105957,,,,,,
,0.0005,265,,,,,,,
5,,274,,0.46298694610595703,,,,,
5,,299,,0.6474661827087402,,,,,
5,,317,,,0.8230336904525757,0.833256721496582,0.5181296467781067,0.8262211680412292,0.8479048013687134
5,,317,0.795918345451355,,,,,,
,0.0005,318,,,,,,,
6,,324,,0.7067193984985352,,,,,
6,,349,,0.7796602249145508,,,,,
6,,370,,,0.8398876190185547,0.8486155271530151,0.5038392543792725,0.85697340965271,0.8571658730506897
6,,370,0.7965186238288879,,,,,,
,0.0005,371,,,,,,,
7,,374,,0.8349268436431885,,,,,
7,,399,,0.8415718078613281,,,,,
7,,423,,,0.8455055952072144,0.8547337055206299,0.46158963441848755,0.8504875898361206,0.8608842492103577
7,,423,0.7869147658348083,,,,,,
,0.0005,424,,,,,,,
8,,424,,0.5694828033447266,,,,,
8,,449,,0.6497888565063477,,,,,
8,,474,,0.5166487693786621,,,,,
8,,476,,,0.834269642829895,0.8416984677314758,0.44053003191947937,0.8359838724136353,0.8523861765861511
8,,476,0.7719087600708008,,,,,,
,0.0005,477,,,,,,,
9,,499,,0.422513484954834,,,,,
9,,524,,0.642758846282959,,,,,
9,,529,,,0.8398876190185547,0.8493579030036926,0.43338024616241455,0.8421646952629089,0.8659073114395142
9,,529,0.8091236352920532,,,,,,
,0.0005,530,,,,,,,
10,,549,,0.5131654739379883,,,,,
10,,574,,0.770606517791748,,,,,
10,,582,,,0.8370786309242249,0.8452407121658325,0.4265355169773102,0.8388583660125732,0.8603919744491577
10,,582,0.795918345451355,,,,,,
,0.0005,583,,,,,,,
11,,599,,0.40298259258270264,,,,,
11,,624,,0.5560142993927002,,,,,
11,,635,,,0.8483145833015442,0.8544470071792603,0.4065319299697876,0.8493325710296631,0.867341935634613
11,,635,0.8073229193687439,,,,,,
,0.0005,636,,,,,,,
12,,649,,0.705145001411438,,,,,
12,,674,,0.4821336269378662,,,,,
12,,688,,,0.8483145833015442,0.8569066524505615,0.40282654762268066,0.8510420322418213,0.8715067505836487
12,,688,0.8181272745132446,,,,,,
,0.0005,689,,,,,,,
13,,699,,0.3952978253364563,,,,,
13,,724,,0.5529961585998535,,,,,
13,,741,,,0.8398876190185547,0.8423638343811035,0.42163848876953125,0.8390910625457764,0.8508728742599487
13,,741,0.8049219846725464,,,,,,
,0.0005,742,,,,,,,
14,,749,,0.4153803586959839,,,,,
14,,774,,0.5142232179641724,,,,,
14,,794,,,0.8595505356788635,0.8649975061416626,0.38965076208114624,0.8591336011886597,0.8737300634384155
14,,794,0.8061224222183228,,,,,,
,0.0005,795,,,,,,,
15,,799,,0.4675917625427246,,,,,
15,,824,,0.5269421339035034,,,,,
15,,847,,,0.8567415475845337,0.8643524050712585,0.374148428440094,0.8613069653511047,0.8683776259422302
15,,847,0.8049219846725464,,,,,,
,0.0005,848,,,,,,,
16,,849,,0.6059553623199463,,,,,
16,,874,,0.5714782476425171,,,,,
16,,899,,0.36104217171669006,,,,,
16,,900,,,0.8455055952072144,0.8523954153060913,0.4022352695465088,0.8541581034660339,0.8632264733314514
16,,900,0.8181272745132446,,,,,,
,0.0005,901,,,,,,,
17,,924,,0.3768221139907837,,,,,
17,,949,,0.598968505859375,,,,,
17,,953,,,0.8595505356788635,0.8666090369224548,0.3891880214214325,0.8620984554290771,0.8753769993782043
17,,953,0.8343337178230286,,,,,,
,0.0005,954,,,,,,,
18,,974,,0.3980152904987335,,,,,
18,,999,,0.5679199695587158,,,,,
18,,1006,,,0.8483145833015442,0.8544943332672119,0.40537190437316895,0.8571591377258301,0.8645732998847961
18,,1006,0.819927990436554,,,,,,
,0.0005,1007,,,,,,,
19,,1024,,0.4565325379371643,,,,,
19,,1049,,0.4710461497306824,,,,,
19,,1059,,,0.8455055952072144,0.8501902222633362,0.39727783203125,0.8449925184249878,0.8653638362884521
19,,1059,0.8103241324424744,,,,,,
,5e-05,1060,,,,,,,
20,,1074,,0.35783499479293823,,,,,
20,,1099,,0.6187136173248291,,,,,
20,,1112,,,0.8567415475845337,0.8617246150970459,0.39058917760849,0.8544644117355347,0.8770202398300171
20,,1112,0.8385354280471802,,,,,,
,5e-05,1113,,,,,,,
21,,1124,,0.4325890839099884,,,,,
21,,1149,,0.43773913383483887,,,,,
21,,1165,,,0.8567415475845337,0.8636929392814636,0.3779100477695465,0.859809160232544,0.8750476241111755
21,,1165,0.8397358655929565,,,,,,
,5e-05,1166,,,,,,,
22,,1174,,0.6166408658027649,,,,,
22,,1199,,0.4772000312805176,,,,,
22,,1218,,,0.8651685118675232,0.8722509145736694,0.38003504276275635,0.8703706860542297,0.8806470632553101
22,,1218,0.8265306353569031,,,,,,
,5e-05,1219,,,,,,,
23,,1224,,0.38391172885894775,,,,,
23,,1249,,0.4967800974845886,,,,,
23,,1271,,,0.8426966071128845,0.8491154909133911,0.40138643980026245,0.8436398506164551,0.8635503053665161
23,,1271,0.8283313512802124,,,,,,
,5e-06,1272,,,,,,,
24,,1274,,0.5342153310775757,,,,,
24,,1299,,0.3410022556781769,,,,,
24,,1324,,1.407958984375,,,,,
24,,1324,,,0.867977499961853,0.873284101486206,0.38171663880348206,0.8715123534202576,0.8819133639335632
24,,1324,0.8217287063598633,,,,,,
,5e-06,1325,,,,,,,
25,,1349,,0.6099765300750732,,,,,
25,,1374,,0.5317354202270508,,,,,
25,,1377,,,0.8483145833015442,0.8523439168930054,0.3989372253417969,0.8455970883369446,0.8642603754997253
25,,1377,0.8343337178230286,,,,,,
,5e-06,1378,,,,,,,
26,,1399,,0.4285486340522766,,,,,
26,,1424,,0.4109903573989868,,,,,
26,,1430,,,0.8567415475845337,0.8602761030197144,0.39873814582824707,0.8581590056419373,0.8730713129043579
26,,1430,0.8163265585899353,,,,,,
,5e-06,1431,,,,,,,
27,,1449,,0.42457902431488037,,,,,
27,,1474,,0.4547159671783447,,,,,
27,,1483,,,0.8539325594902039,0.861784040927887,0.3763483762741089,0.8592569828033447,0.8728572130203247
27,,1483,0.8331332802772522,,,,,,
,5.000000000000001e-07,1484,,,,,,,
28,,1499,,0.6256691813468933,,,,,
28,,1524,,0.32545459270477295,,,,,
28,,1536,,,0.8623595237731934,0.8675223588943481,0.38987046480178833,0.8645543456077576,0.8804805874824524
28,,1536,0.8103241324424744,,,,,,
,5.000000000000001e-07,1537,,,,,,,
29,,1549,,0.4081159830093384,,,,,
29,,1574,,0.5398237705230713,,,,,
29,,1589,,,0.8651685118675232,0.871283233165741,0.38548290729522705,0.8692582249641418,0.8824586868286133
29,,1589,0.8295317888259888,,,,,,
,5.000000000000001e-07,1590,,,,,,,
30,,1599,,0.5596143007278442,,,,,
30,,1624,,0.5405285358428955,,,,,
30,,1642,,,0.8483145833015442,0.854134738445282,0.42034852504730225,0.853056788444519,0.8673895001411438
30,,1642,0.8271308541297913,,,,,,
,5.000000000000001e-07,1643,,,,,,,
31,,1649,,0.46065032482147217,,,,,
31,,1674,,0.44158124923706055,,,,,
31,,1695,,,0.8623595237731934,0.8687698841094971,0.3777894079685211,0.8675663471221924,0.8747493028640747
31,,1695,0.8145257830619812,,,,,,
,5.000000000000001e-08,1696,,,,,,,
32,,1699,,0.4789750576019287,,,,,
32,,1724,,0.42781391739845276,,,,,
32,,1748,,,0.8398876190185547,0.8435205817222595,0.3962464928627014,0.8402986526489258,0.8559783101081848
32,,1748,0.8223289251327515,,,,,,
,5.000000000000001e-08,1749,,,,,,,
33,,1749,,0.47982311248779297,,,,,
33,,1774,,0.6126689910888672,,,,,
33,,1799,,0.294492244720459,,,,,
33,,1801,,,0.8539325594902039,0.8612986207008362,0.38456177711486816,0.8583997488021851,0.8708809018135071
33,,1801,0.8367347121238708,,,,,,
,5.000000000000001e-08,1802,,,,,,,
34,,1824,,0.5050622224807739,,,,,
34,,1849,,0.49863359332084656,,,,,
34,,1854,,,0.8483145833015442,0.8540890216827393,0.37843039631843567,0.8533221483230591,0.857820987701416
34,,1854,0.8301320672035217,,,,,,
,5.000000000000001e-08,1855,,,,,,,
35,,1874,,0.45732343196868896,,,,,
35,,1899,,0.36883544921875,,,,,
35,,1907,,,0.8455055952072144,0.8527735471725464,0.3793352246284485,0.8521826267242432,0.858117401599884
35,,1907,0.8223289251327515,,,,,,
