epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.0001,0,,,,,,,
0,,24,,1.698333740234375,,,,,
0,,49,,1.560272216796875,,,,,
0,,52,,,0.5084269642829895,0.49293053150177,1.6205259561538696,0.46980538964271545,0.5933812856674194
0,,52,0.3355342149734497,,,,,,
,0.0001,53,,,,,,,
1,,74,,1.63836669921875,,,,,
1,,99,,1.4713134765625,,,,,
1,,105,,,0.6741573214530945,0.6821823120117188,1.438550591468811,0.685200572013855,0.7322976589202881
1,,105,0.5018007159233093,,,,,,
,0.0001,106,,,,,,,
2,,124,,1.4398193359375,,,,,
2,,149,,1.372100830078125,,,,,
2,,158,,,0.7191011309623718,0.724520206451416,1.3136192560195923,0.7181473970413208,0.7530138492584229
2,,158,0.6326530575752258,,,,,,
,0.0001,159,,,,,,,
3,,174,,1.302703857421875,,,,,
3,,199,,1.2367095947265625,,,,,
3,,211,,,0.7808988690376282,0.7972585558891296,1.1935075521469116,0.7912172079086304,0.8229541778564453
3,,211,0.6536614894866943,,,,,,
,0.0001,212,,,,,,,
4,,224,,1.28704833984375,,,,,
4,,249,,1.2718048095703125,,,,,
4,,264,,,0.7696629166603088,0.7862895727157593,1.0960748195648193,0.7766040563583374,0.8109812140464783
4,,264,0.6758703589439392,,,,,,
,0.0001,265,,,,,,,
5,,274,,1.1200942993164062,,,,,
5,,299,,1.1908721923828125,,,,,
5,,317,,,0.7640449404716492,0.7795266509056091,1.0379960536956787,0.7722145318984985,0.8054146766662598
5,,317,0.7232893109321594,,,,,,
,0.0001,318,,,,,,,
6,,324,,1.148956298828125,,,,,
6,,349,,1.1603164672851562,,,,,
6,,370,,,0.7977527976036072,0.8119350671768188,0.9694292545318604,0.8147817254066467,0.8359372615814209
6,,370,0.7232893109321594,,,,,,
,0.0001,371,,,,,,,
7,,374,,1.2244644165039062,,,,,
7,,399,,1.1668701171875,,,,,
7,,423,,,0.7977527976036072,0.812347412109375,0.9006549715995789,0.803607702255249,0.8278619647026062
7,,423,0.714885950088501,,,,,,
,0.0001,424,,,,,,,
8,,424,,0.9911117553710938,,,,,
8,,449,,1.0214614868164062,,,,,
8,,474,,0.9647598266601562,,,,,
8,,476,,,0.800561785697937,0.8138045072555542,0.8492772579193115,0.8046705722808838,0.8308593034744263
8,,476,0.7034813761711121,,,,,,
,0.0001,477,,,,,,,
9,,499,,0.8832015991210938,,,,,
