epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.1513595581054688,,,,,
0,,49,,0.6539573669433594,,,,,
0,,52,,,0.699438214302063,0.6991565227508545,0.8445066809654236,0.7024391889572144,0.7518554925918579
0,,52,0.6164465546607971,,,,,,
,0.001,53,,,,,,,
1,,74,,0.8757009506225586,,,,,
1,,99,,0.7377777099609375,,,,,
1,,105,,,0.7893258333206177,0.7899673581123352,0.6145485639572144,0.7781258821487427,0.814234733581543
1,,105,0.7581032514572144,,,,,,
,0.001,106,,,,,,,
2,,124,,0.5092458724975586,,,,,
2,,149,,0.6839523315429688,,,,,
2,,158,,,0.7808988690376282,0.7812988758087158,0.5956423282623291,0.7705168724060059,0.8134918212890625
2,,158,0.7743096947669983,,,,,,
,0.001,159,,,,,,,
3,,174,,0.5759789943695068,,,,,
3,,199,,0.7435860633850098,,,,,
3,,211,,,0.7808988690376282,0.7862711548805237,0.5799671411514282,0.7840369939804077,0.8143811225891113
3,,211,0.7845138311386108,,,,,,
,0.001,212,,,,,,,
4,,224,,0.6196794509887695,,,,,
4,,249,,0.5024917125701904,,,,,
4,,264,,,0.8089887499809265,0.8125379085540771,0.5228271484375,0.8020559549331665,0.8361349105834961
4,,264,0.7827130556106567,,,,,,
,0.001,265,,,,,,,
5,,274,,0.7443137168884277,,,,,
5,,299,,0.4995229244232178,,,,,
5,,317,,,0.8117977380752563,0.812141478061676,0.5065546631813049,0.8008724451065063,0.8349802494049072
5,,317,0.8241296410560608,,,,,,
,0.001,318,,,,,,,
6,,324,,0.5313820838928223,,,,,
6,,349,,0.5761429071426392,,,,,
6,,370,,,0.7949438095092773,0.7955077290534973,0.48634347319602966,0.7855170965194702,0.816686749458313
6,,370,0.8103241324424744,,,,,,
,0.001,371,,,,,,,
7,,374,,0.41097891330718994,,,,,
7,,399,,0.43320441246032715,,,,,
7,,423,,,0.8230336904525757,0.8230605721473694,0.4453437328338623,0.8115942478179932,0.8467061519622803
7,,423,0.8253301382064819,,,,,,
,0.001,424,,,,,,,
8,,424,,0.48757827281951904,,,,,
8,,449,,0.5242776870727539,,,,,
8,,474,,0.3042614459991455,,,,,
8,,476,,,0.800561785697937,0.8051685094833374,0.4900306463241577,0.7969053387641907,0.8372328281402588
8,,476,0.8121248483657837,,,,,,
,0.001,477,,,,,,,
9,,499,,0.6949093341827393,,,,,
9,,524,,0.29274415969848633,,,,,
9,,529,,,0.8230336904525757,0.8245181441307068,0.45974841713905334,0.813556969165802,0.8500292301177979
9,,529,0.8235294222831726,,,,,,
,0.001,530,,,,,,,
10,,549,,0.5702134370803833,,,,,
10,,574,,0.6703038811683655,,,,,
10,,582,,,0.8061797618865967,0.8073525428771973,0.46917665004730225,0.7975960373878479,0.8376976251602173
10,,582,0.8343337178230286,,,,,,
,0.001,583,,,,,,,
11,,599,,0.43650996685028076,,,,,
11,,624,,0.4077019691467285,,,,,
11,,635,,,0.783707857131958,0.786740779876709,0.4972420930862427,0.7771466970443726,0.8190363645553589
11,,635,0.8217287063598633,,,,,,
,0.0001,636,,,,,,,
12,,649,,0.5099468231201172,,,,,
12,,674,,0.631837010383606,,,,,
12,,688,,,0.8089887499809265,0.810387909412384,0.45060300827026367,0.7998485565185547,0.8356719613075256
12,,688,0.8529411554336548,,,,,,
