epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.327880859375,,,,,
0,,49,,0.860107421875,,,,,
0,,52,,,0.7780898809432983,0.7846845984458923,0.8027385473251343,0.7834641337394714,0.8211938142776489
0,,52,0.5912364721298218,,,,,,
,0.001,53,,,,,,,
1,,74,,0.9262008666992188,,,,,
1,,99,,0.7631759643554688,,,,,
1,,105,,,0.8651685118675232,0.8689146637916565,0.5182605981826782,0.8651555776596069,0.8771885633468628
1,,105,0.749099612236023,,,,,,
,0.001,106,,,,,,,
2,,124,,0.6379833221435547,,,,,
2,,149,,0.7659168243408203,,,,,
2,,158,,,0.8567415475845337,0.8591006398200989,0.47052380442619324,0.8553472757339478,0.8748847246170044
2,,158,0.767106831073761,,,,,,
,0.001,159,,,,,,,
3,,174,,0.5646848678588867,,,,,
3,,199,,0.5228376388549805,,,,,
3,,211,,,0.8764045238494873,0.8829222321510315,0.43667125701904297,0.8896287083625793,0.8948909640312195
3,,211,0.7833133339881897,,,,,,
,0.001,212,,,,,,,
4,,224,,0.7786495685577393,,,,,
4,,249,,0.50114905834198,,,,,
4,,264,,,0.8764045238494873,0.8801016807556152,0.40499386191368103,0.8794563412666321,0.8899520635604858
4,,264,0.7839135527610779,,,,,,
,0.001,265,,,,,,,
5,,274,,0.7092540264129639,,,,,
5,,299,,0.7025823593139648,,,,,
5,,317,,,0.8735954761505127,0.8769012689590454,0.4027680456638336,0.8731174468994141,0.8864917159080505
5,,317,0.7977190613746643,,,,,,
,0.001,318,,,,,,,
6,,324,,0.5857442617416382,,,,,
6,,349,,0.6639759540557861,,,,,
6,,370,,,0.8848314881324768,0.8884971737861633,0.3597566783428192,0.8900071382522583,0.8958479762077332
6,,370,0.795918345451355,,,,,,
,0.001,371,,,,,,,
7,,374,,0.5860642790794373,,,,,
7,,399,,0.5201025009155273,,,,,
7,,423,,,0.8960674405097961,0.9036949872970581,0.36342862248420715,0.9063243865966797,0.9105017781257629
7,,423,0.8019207715988159,,,,,,
,0.001,424,,,,,,,
8,,424,,0.6355258822441101,,,,,
8,,449,,0.6538829207420349,,,,,
8,,474,,0.459830641746521,,,,,
8,,476,,,0.8764045238494873,0.8844858407974243,0.35385778546333313,0.8861836791038513,0.897110641002655
8,,476,0.8067227005958557,,,,,,
,0.001,477,,,,,,,
9,,499,,0.5661442279815674,,,,,
9,,524,,0.4415898621082306,,,,,
9,,529,,,0.8848314881324768,0.8924705982208252,0.3530978560447693,0.8918654918670654,0.9049828052520752
9,,529,0.8043217062950134,,,,,,
,0.001,530,,,,,,,
10,,549,,0.503558874130249,,,,,
10,,574,,0.7273457050323486,,,,,
10,,582,,,0.8764045238494873,0.8863664865493774,0.3611348569393158,0.886012613773346,0.9012736082077026
10,,582,0.8073229193687439,,,,,,
,0.001,583,,,,,,,
11,,599,,0.5521063804626465,,,,,
11,,624,,0.4628582000732422,,,,,
11,,635,,,0.8707864880561829,0.8797376751899719,0.3407648801803589,0.8768812417984009,0.8959230184555054
11,,635,0.7977190613746643,,,,,,
,0.001,636,,,,,,,
12,,649,,0.7503654956817627,,,,,
12,,674,,0.7116435766220093,,,,,
12,,688,,,0.8876404762268066,0.8957535624504089,0.3304118812084198,0.8955599069595337,0.9050633311271667
12,,688,0.8157262802124023,,,,,,
,0.001,689,,,,,,,
13,,699,,0.4548723101615906,,,,,
13,,724,,0.507980227470398,,,,,
13,,741,,,0.8764045238494873,0.884778618812561,0.33140525221824646,0.8874284029006958,0.893866240978241
13,,741,0.8331332802772522,,,,,,
,0.001,742,,,,,,,
14,,749,,0.27592894434928894,,,,,
14,,774,,0.4234679639339447,,,,,
14,,794,,,0.8764045238494873,0.8849016427993774,0.3568495512008667,0.8880321383476257,0.8955973386764526
14,,794,0.8241296410560608,,,,,,
,0.001,795,,,,,,,
15,,799,,0.42420560121536255,,,,,
15,,824,,0.3393200635910034,,,,,
15,,847,,,0.8904494643211365,0.8955109119415283,0.2945183217525482,0.8969292044639587,0.8963402509689331
15,,847,0.8277310729026794,,,,,,
,0.001,848,,,,,,,
16,,849,,0.503399133682251,,,,,
16,,874,,0.593416154384613,,,,,
16,,899,,0.4818115234375,,,,,
16,,900,,,0.8792135119438171,0.8886883854866028,0.32061633467674255,0.8899630308151245,0.9012754559516907
16,,900,0.8265306353569031,,,,,,
,0.001,901,,,,,,,
17,,924,,0.5575993657112122,,,,,
17,,949,,0.5352638363838196,,,,,
17,,953,,,0.8876404762268066,0.8959665298461914,0.3069764971733093,0.8974261283874512,0.901526153087616
17,,953,0.8151260614395142,,,,,,
,0.001,954,,,,,,,
18,,974,,0.4163060188293457,,,,,
18,,999,,0.3775498867034912,,,,,
18,,1006,,,0.8932584524154663,0.9031886458396912,0.3341089189052582,0.9064226150512695,0.9195542335510254
18,,1006,0.8295317888259888,,,,,,
,0.001,1007,,,,,,,
19,,1024,,0.5375778675079346,,,,,
19,,1049,,0.4032324254512787,,,,,
19,,1059,,,0.8735954761505127,0.8812277317047119,0.3252992630004883,0.8837753534317017,0.8957638144493103
19,,1059,0.8205282092094421,,,,,,
,0.0001,1060,,,,,,,
20,,1074,,0.5541259050369263,,,,,
20,,1099,,0.3308592736721039,,,,,
20,,1112,,,0.8792135119438171,0.887753963470459,0.31851261854171753,0.8894212245941162,0.8994656801223755
20,,1112,0.8439375758171082,,,,,,
