epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.01,0,,,,,,,
0,,24,,0.6674325466156006,,,,,
0,,49,,0.46489667892456055,,,,,
0,,52,,,0.8398876190185547,0.8541606664657593,0.4695029556751251,0.8537245988845825,0.8670253753662109
0,,52,0.6596638560295105,,,,,,
,0.01,53,,,,,,,
1,,74,,0.6242079734802246,,,,,
1,,99,,0.3597491979598999,,,,,
1,,105,,,0.8426966071128845,0.8532233834266663,0.49926894903182983,0.8649629950523376,0.8725754618644714
1,,105,0.7755101919174194,,,,,,
,0.01,106,,,,,,,
2,,124,,0.31550532579421997,,,,,
2,,149,,0.44279539585113525,,,,,
2,,158,,,0.8595505356788635,0.8679834604263306,0.4038245677947998,0.8663848638534546,0.8788318037986755
2,,158,0.79111647605896,,,,,,
,0.01,159,,,,,,,
3,,174,,0.449623167514801,,,,,
3,,199,,0.3063260614871979,,,,,
3,,211,,,0.834269642829895,0.8342595100402832,0.5085080862045288,0.8409256935119629,0.8490375280380249
3,,211,0.8109243512153625,,,,,,
,0.01,212,,,,,,,
4,,224,,0.5690045356750488,,,,,
4,,249,,0.8416913747787476,,,,,
4,,264,,,0.8735954761505127,0.8749149441719055,0.4039347469806671,0.8773642778396606,0.8750238418579102
4,,264,0.7965186238288879,,,,,,
,0.01,265,,,,,,,
5,,274,,0.14589017629623413,,,,,
5,,299,,0.9267973303794861,,,,,
5,,317,,,0.8314606547355652,0.8316948413848877,0.4347023665904999,0.8333331346511841,0.8440126180648804
5,,317,0.8115246295928955,,,,,,
,0.01,318,,,,,,,
6,,324,,0.5519485473632812,,,,,
6,,349,,0.8890407085418701,,,,,
6,,370,,,0.8455055952072144,0.8466596603393555,0.4464924931526184,0.8516092896461487,0.8465726375579834
6,,370,0.8109243512153625,,,,,,
,0.001,371,,,,,,,
7,,374,,0.6170129179954529,,,,,
7,,399,,0.8439542055130005,,,,,
7,,423,,,0.8539325594902039,0.856753408908844,0.4070487320423126,0.8580290079116821,0.8618265986442566
7,,423,0.8283313512802124,,,,,,
,0.001,424,,,,,,,
8,,424,,0.37409937381744385,,,,,
8,,449,,0.338107705116272,,,,,
8,,474,,0.4098205268383026,,,,,
8,,476,,,0.8764045238494873,0.8824440240859985,0.3758191764354706,0.8800530433654785,0.8900308012962341
8,,476,0.8133253455162048,,,,,,
,0.001,477,,,,,,,
9,,499,,0.22355866432189941,,,,,
9,,524,,0.4595259130001068,,,,,
9,,529,,,0.8764045238494873,0.8825401067733765,0.3603183925151825,0.8813421726226807,0.888221025466919
9,,529,0.8325330018997192,,,,,,
,0.001,530,,,,,,,
10,,549,,0.4624243974685669,,,,,
10,,574,,0.6951364278793335,,,,,
10,,582,,,0.8792135119438171,0.8846666812896729,0.3734202980995178,0.8831971883773804,0.890114963054657
10,,582,0.8247299194335938,,,,,,
,0.001,583,,,,,,,
11,,599,,0.24133451282978058,,,,,
11,,624,,0.37005415558815,,,,,
11,,635,,,0.8735954761505127,0.8792170286178589,0.35959792137145996,0.8777442574501038,0.8863270878791809
11,,635,0.8397358655929565,,,,,,
,0.001,636,,,,,,,
12,,649,,0.6683712005615234,,,,,
12,,674,,0.3609616756439209,,,,,
12,,688,,,0.8735954761505127,0.8799601793289185,0.33699896931648254,0.8798490762710571,0.8859464526176453
12,,688,0.8457382917404175,,,,,,
,0.001,689,,,,,,,
13,,699,,0.21333932876586914,,,,,
13,,724,,0.5274060964584351,,,,,
13,,741,,,0.867977499961853,0.8729358911514282,0.3980696499347687,0.8708867430686951,0.8808099627494812
13,,741,0.8361344337463379,,,,,,
,0.001,742,,,,,,,
14,,749,,0.320346474647522,,,,,
14,,774,,0.5022302865982056,,,,,
14,,794,,,0.8735954761505127,0.8760916590690613,0.3527449667453766,0.8732805252075195,0.8820286393165588
14,,794,0.831932783126831,,,,,,
,0.001,795,,,,,,,
15,,799,,0.3777073621749878,,,,,
15,,824,,0.41974860429763794,,,,,
15,,847,,,0.8876404762268066,0.8910549283027649,0.3339209258556366,0.8916365504264832,0.8922559022903442
15,,847,0.8379351496696472,,,,,,
,0.001,848,,,,,,,
16,,849,,0.5271075367927551,,,,,
16,,874,,0.3908556401729584,,,,,
16,,899,,0.3437840938568115,,,,,
16,,900,,,0.8735954761505127,0.8822454214096069,0.3654664158821106,0.8831045627593994,0.8898642659187317
16,,900,0.8463385105133057,,,,,,
,0.001,901,,,,,,,
17,,924,,0.39110249280929565,,,,,
17,,949,,0.4759151339530945,,,,,
