epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.3092498779296875,,,,,
0,,49,,0.84869384765625,,,,,
0,,52,,,0.7808988690376282,0.7869675159454346,0.7820084095001221,0.7834892272949219,0.8212761878967285
0,,52,0.6032413244247437,,,,,,
,0.001,53,,,,,,,
1,,74,,0.9186592102050781,,,,,
1,,99,,0.7352933883666992,,,,,
1,,105,,,0.8651685118675232,0.868374764919281,0.5060070753097534,0.8650003671646118,0.8771080374717712
1,,105,0.7551020383834839,,,,,,
,0.001,106,,,,,,,
2,,124,,0.6388001441955566,,,,,
2,,149,,0.7624130249023438,,,,,
2,,158,,,0.8595505356788635,0.8614782094955444,0.46269604563713074,0.8586118817329407,0.8766963481903076
2,,158,0.7767106890678406,,,,,,
,0.001,159,,,,,,,
3,,174,,0.5602879524230957,,,,,
3,,199,,0.5128002166748047,,,,,
3,,211,,,0.882022500038147,0.8897344470024109,0.43276330828666687,0.8948526382446289,0.9027613401412964
3,,211,0.7893157005310059,,,,,,
,0.001,212,,,,,,,
4,,224,,0.7623853087425232,,,,,
4,,249,,0.5271511077880859,,,,,
4,,264,,,0.8764045238494873,0.8801016807556152,0.399696946144104,0.8794563412666321,0.8899520635604858
4,,264,0.79111647605896,,,,,,
,0.001,265,,,,,,,
5,,274,,0.6708650588989258,,,,,
5,,299,,0.7006692886352539,,,,,
5,,317,,,0.8707864880561829,0.8746765851974487,0.3964330554008484,0.8720543384552002,0.8827880620956421
5,,317,0.8025209903717041,,,,,,
,0.001,318,,,,,,,
6,,324,,0.561530590057373,,,,,
6,,349,,0.6498970985412598,,,,,
6,,370,,,0.882022500038147,0.8875205516815186,0.35758110880851746,0.8901156187057495,0.8940363526344299
6,,370,0.7977190613746643,,,,,,
,0.001,371,,,,,,,
7,,374,,0.5947786569595337,,,,,
7,,399,,0.5162458419799805,,,,,
7,,423,,,0.8904494643211365,0.8985105752944946,0.36329203844070435,0.9019266366958618,0.9067139029502869
7,,423,0.8091236352920532,,,,,,
,0.001,424,,,,,,,
8,,424,,0.6267750263214111,,,,,
8,,449,,0.6453676223754883,,,,,
8,,474,,0.4139944911003113,,,,,
8,,476,,,0.8735954761505127,0.8819915652275085,0.34594348073005676,0.8828603029251099,0.8934874534606934
8,,476,0.8097239136695862,,,,,,
,0.001,477,,,,,,,
9,,499,,0.5170514583587646,,,,,
9,,524,,0.4355164170265198,,,,,
9,,529,,,0.8848314881324768,0.8922037482261658,0.35068655014038086,0.8919005393981934,0.9049828052520752
9,,529,0.8109243512153625,,,,,,
,0.001,530,,,,,,,
10,,549,,0.4993883967399597,,,,,
10,,574,,0.6873488426208496,,,,,
10,,582,,,0.8792135119438171,0.8891052007675171,0.3605877757072449,0.8893900513648987,0.9048968553543091
10,,582,0.8169267773628235,,,,,,
,0.001,583,,,,,,,
11,,599,,0.4727308750152588,,,,,
11,,624,,0.4555134177207947,,,,,
11,,635,,,0.8735954761505127,0.882217526435852,0.3367420434951782,0.8802173137664795,0.897652268409729
11,,635,0.8115246295928955,,,,,,
,0.001,636,,,,,,,
12,,649,,0.7458306550979614,,,,,
12,,674,,0.6437349319458008,,,,,
12,,688,,,0.8904494643211365,0.899104118347168,0.3263894021511078,0.8998735547065735,0.9069572687149048
12,,688,0.8175269961357117,,,,,,
,0.001,689,,,,,,,
13,,699,,0.43940603733062744,,,,,
13,,724,,0.5057069659233093,,,,,
13,,741,,,0.8764045238494873,0.8854676485061646,0.3261496126651764,0.8880667090415955,0.895758330821991
13,,741,0.831932783126831,,,,,,
,0.001,742,,,,,,,
14,,749,,0.27981144189834595,,,,,
14,,774,,0.4082801043987274,,,,,
14,,794,,,0.867977499961853,0.8767293691635132,0.35624730587005615,0.8777626156806946,0.8883509635925293
14,,794,0.8241296410560608,,,,,,
,0.001,795,,,,,,,
15,,799,,0.3905930817127228,,,,,
15,,824,,0.351348876953125,,,,,
15,,847,,,0.8904494643211365,0.8955109119415283,0.28958049416542053,0.8969292044639587,0.8963402509689331
15,,847,0.837334930896759,,,,,,
,0.001,848,,,,,,,
16,,849,,0.4400959312915802,,,,,
16,,874,,0.6077932715415955,,,,,
16,,899,,0.4625740647315979,,,,,
16,,900,,,0.882022500038147,0.8908706903457642,0.3147161900997162,0.8918738961219788,0.9031693935394287
16,,900,0.8385354280471802,,,,,,
,0.001,901,,,,,,,
17,,924,,0.493890643119812,,,,,
17,,949,,0.5081565380096436,,,,,
17,,953,,,0.882022500038147,0.890731692314148,0.3041219115257263,0.8927700519561768,0.8960090279579163
17,,953,0.8211284279823303,,,,,,
,0.001,954,,,,,,,
18,,974,,0.38433635234832764,,,,,
18,,999,,0.33143413066864014,,,,,
18,,1006,,,0.8932584524154663,0.902549147605896,0.3280195891857147,0.9046004414558411,0.9177426099777222
18,,1006,0.8397358655929565,,,,,,
,0.001,1007,,,,,,,
19,,1024,,0.5431415438652039,,,,,
19,,1049,,0.3667365610599518,,,,,
19,,1059,,,0.8848314881324768,0.893429160118103,0.3181026875972748,0.8963959813117981,0.9086059927940369
19,,1059,0.8283313512802124,,,,,,
,0.0001,1060,,,,,,,
20,,1074,,0.525327205657959,,,,,
20,,1099,,0.34048032760620117,,,,,
20,,1112,,,0.882022500038147,0.8904991149902344,0.31279435753822327,0.8927322030067444,0.9030888676643372
20,,1112,0.8553421497344971,,,,,,
