epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.188201904296875,,,,,
0,,49,,0.6753082275390625,,,,,
0,,52,,,0.699438214302063,0.6987653374671936,0.8574079871177673,0.7054551243782043,0.7535847425460815
0,,52,0.6080431938171387,,,,,,
,0.001,53,,,,,,,
1,,74,,0.8748340606689453,,,,,
1,,99,,0.7690792083740234,,,,,
1,,105,,,0.7724719047546387,0.7732448577880859,0.6303107738494873,0.7618230581283569,0.8007630705833435
1,,105,0.7515006065368652,,,,,,
,0.001,106,,,,,,,
2,,124,,0.5555429458618164,,,,,
2,,149,,0.6935420036315918,,,,,
2,,158,,,0.7780898809432983,0.7789834141731262,0.6030709743499756,0.7681393027305603,0.8080570697784424
2,,158,0.7683073282241821,,,,,,
,0.001,159,,,,,,,
3,,174,,0.5754849910736084,,,,,
3,,199,,0.7548933029174805,,,,,
3,,211,,,0.7808988690376282,0.7855606079101562,0.5892284512519836,0.7821578979492188,0.8168185949325562
3,,211,0.7779111862182617,,,,,,
,0.001,212,,,,,,,
4,,224,,0.641782283782959,,,,,
4,,249,,0.514763593673706,,,,,
4,,264,,,0.8117977380752563,0.8144260048866272,0.5292804837226868,0.8031843900680542,0.8362172842025757
4,,264,0.7809123396873474,,,,,,
,0.001,265,,,,,,,
5,,274,,0.7706694602966309,,,,,
5,,299,,0.529821515083313,,,,,
5,,317,,,0.8061797618865967,0.8064792156219482,0.5169346928596497,0.795604944229126,0.8289196491241455
5,,317,0.8157262802124023,,,,,,
,0.001,318,,,,,,,
6,,324,,0.5554382801055908,,,,,
6,,349,,0.6202337741851807,,,,,
6,,370,,,0.7893258333206177,0.7913145422935486,0.4987216889858246,0.7807308435440063,0.8152539730072021
6,,370,0.8049219846725464,,,,,,
,0.001,371,,,,,,,
7,,374,,0.4186807870864868,,,,,
7,,399,,0.42343318462371826,,,,,
7,,423,,,0.8146067261695862,0.8161797523498535,0.45780885219573975,0.8040387034416199,0.8394597768783569
7,,423,0.819327712059021,,,,,,
,0.001,424,,,,,,,
8,,424,,0.5031204223632812,,,,,
8,,449,,0.5412631034851074,,,,,
8,,474,,0.3035506010055542,,,,,
8,,476,,,0.7977527976036072,0.8014337420463562,0.495515376329422,0.7925875782966614,0.8336114883422852
8,,476,0.7941176295280457,,,,,,
,0.001,477,,,,,,,
9,,499,,0.6876956820487976,,,,,
9,,524,,0.2908213138580322,,,,,
9,,529,,,0.817415714263916,0.81871098279953,0.463577538728714,0.80745929479599,0.8444316387176514
9,,529,0.8145257830619812,,,,,,
,0.001,530,,,,,,,
10,,549,,0.5255117416381836,,,,,
10,,574,,0.71373450756073,,,,,
10,,582,,,0.8117977380752563,0.8124134540557861,0.4702131748199463,0.8023473024368286,0.8414855003356934
10,,582,0.819927990436554,,,,,,
,0.001,583,,,,,,,
11,,599,,0.4951047897338867,,,,,
11,,624,,0.4676237106323242,,,,,
11,,635,,,0.7865168452262878,0.788689136505127,0.5036416053771973,0.7778550386428833,0.8191187381744385
11,,635,0.8169267773628235,,,,,,
,0.0001,636,,,,,,,
12,,649,,0.5959634780883789,,,,,
12,,674,,0.6616291999816895,,,,,
12,,688,,,0.800561785697937,0.8018049001693726,0.4592357575893402,0.7917802929878235,0.8282626867294312
12,,688,0.8439375758171082,,,,,,
