Experiment,epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall,test_acc,test_f1,test_loss,test_precision,test_recall
mobilenet_v2-l2_plantvillage-dr_0.1,7.0,423.0,0.8517407178878784,0.2868531942367553,0.8202247023582458,0.8208604454994202,0.4503560364246368,0.8088971376419067,0.843247652053833,0.8027777671813965,0.797005832195282,0.5483253598213196,0.7913001775741577,0.814988911151886
mobilenet_v2-l3_plantdoc-dr_0.2,15.0,847.0,0.8775510191917419,0.1726089119911193,0.8483145833015442,0.8419581651687622,0.3962580561637878,0.8422994613647461,0.8427408337593079,0.8305555582046509,0.8203447461128235,0.4127703905105591,0.8202629685401917,0.8227288722991943
mobilenet_v2-l2_plantvillage-dr_0.2,7.0,423.0,0.8439375758171082,0.2908213138580322,0.8146067261695862,0.8161797523498535,0.4578088521957397,0.8040387034416199,0.8394597768783569,0.7916666865348816,0.7874609231948853,0.5561730265617371,0.781256914138794,0.8079010248184204
mobilenet_v2-l1_imagenet-dr_0.1,15.0,847.0,0.8553421497344971,0.2798114418983459,0.8904494643211365,0.8955109119415283,0.2895804941654205,0.8969292044639587,0.8963402509689331,0.8833333253860474,0.8863361477851868,0.324701726436615,0.8807008862495422,0.8934757709503174
mobilenet_v2-l3_plantdoc-dr_0.0,6.0,370.0,0.8421368598937988,0.1889320611953735,0.834269642829895,0.8358261585235596,0.4255922734737396,0.8332460522651672,0.8438076376914978,0.8333333134651184,0.8287307024002075,0.4383757412433624,0.823695182800293,0.8382236361503601
mobilenet_v2-l2_plantvillage-dr_0.0,7.0,423.0,0.8529411554336548,0.2927441596984863,0.8230336904525757,0.8230605721473694,0.4453437328338623,0.8115942478179932,0.8467061519622803,0.800000011920929,0.7946670055389404,0.5447933077812195,0.7890243530273438,0.8131967782974243
mobilenet_v2-l3_plantdoc-dr_0.1,15.0,847.0,0.8757503032684326,0.1949746012687683,0.8314606547355652,0.8340697288513184,0.4118797779083252,0.8302359580993652,0.8454545736312866,0.8361111283302307,0.8286042809486389,0.4202501475811004,0.8219233155250549,0.8419273495674133
mobilenet_v2-l1_imagenet-dr_0.2,15.0,847.0,0.8439375758171082,0.2759289443492889,0.8904494643211365,0.8955109119415283,0.2945183217525482,0.8969292044639587,0.8963402509689331,0.8722222447395325,0.8762416243553162,0.3305629193782806,0.8710497617721558,0.8827188014984131
mobilenet_v2-l1_imagenet-dr_0.0,15.0,847.0,0.8589435815811157,0.2532050013542175,0.8932584524154663,0.8982140421867371,0.288401335477829,0.9008643627166748,0.8981518149375916,0.8805555701255798,0.8835800886154175,0.3203472793102264,0.8793758153915405,0.8892496228218079
